Error Code,Error Description
7025,Number of Itinerant Units is required for station class FAT3 and may not exceed 100 units.  Number of Itinerant Units is not applicable to any other station class.
7030,"The question 'For Ground Only, will the service of this station be available to any aircraft desiring to use it?"" must be answered 'Y' for all Coast and Ground services with station classes FA, FAA, FAC, FAA1, FAA2, FA1, FA2, or AX."
7035,"The question 'For Coast Only, will this station be open to Public Correspondence?"" must be answered 'Y' for all Coast and Ground services with station classes APC, APX, APX2, MFX, or FC."
7040,"The question 'For Aeronautical Radionavigation station only, provide the Station identifier' is required for radio service AR.    It is not applicable to any other radio services."
7045,"For Aeronautical Fixed Station ('AX'), the call sign of the associated Aeronautical Enroute Station is required and for Aircraft Data Link Land Test Station ('DLT'), the call sign of the consenting Aeronautical Enroute Station in the area is required."
7050,Lineloss is optional for fixed locations and must be equal to or greater than 0 and equal to or less than 99.9.
7051,FAA N-Number must begin with a numeric other than 0.
7055,The receive zone code that has been entered is invalid.
7060,"Frequency Type is required.  Valid entries are L, G, E, and O."
7065,"Transmitter Output power, if present, must be equal to or greater than 0 and equal to or less than 80,000 watts."
7070,"Time Begin Operations is required for Coast and Ground services with station classes FC, FAC, APC."
7075,"Time End Operations is required for Coast and Ground services with station classes FC, FAC, APC."
7080,"Operational altitude is required if station class = FA, FA1, or FA2 and frequency is within (128.8125 MHz and 132.0125 MHz) or (136.4875 MHz and 137.0 MHz)."
7085,The FAA is required to be notified that this application is being filed. Please provide the name of the FAA Regional Office that was notified.
7090,The FAA is required to be notified that this application is being filed. Please provide the date the FAA Regional Office was notified.  Date must be in MM/DD/YYYY format.
7095,A response to the Private Coast and Marine Utility Certification # 1 is required.
7100,At least one response is required to Private Coast and Marine Utility Certifications 2 through 5.
7105,"For station classes FAS and FAS1, if the location is fixed then the frequency must equal 123.3 or 123.5 MHz.  Frequency may not be both 123.3 and 123.5 MHz. 121.95 and/or 121.5 MHz may also be present, but must be in addition to 123.3 or 123.5 MHz"
7110,"For station classes FAS and FAS1, if the location is mobile then the frequency must equal 123.3 and/or 123.5 MHz.  Frequencies 121.95 and/or 121.5 MHz may also be present, but must be in addition to 123.3 or 123.5 MHz"
7115,"For station classes FLU and FLU1, the frequency must equal 122.775 and/or 122.85 MHz.   Frequency 121.5 MHz may also be present but must be in addition to 122.775 or 122.85 MHz."
7120,A response to the Operational Fixed Station Certification is required.
7125,A response to the Maritime Support Station Certification is required.
7130,A response to the Aeronautical Fixed Station Certification is required.
7135,A response to the Unicom Certification is required.
7140,A response to the Aeronautical Search and Rescue Station Certification is required.
7145,At least one response is required to Flight Test Station Certifications 1 through 4.
7150,"For station classes RCO, GCO, or RPC, frequency, if present must equal one or more specific frequencies or a band from frequency band 118.0-137.0 MHz."
7155,"For station classes SAR, SAR1, assigned frequency must equal 123.1 and/or 122.9 MHz.  Carrier frequency, if present, must equal 3.023 and/or 5.680 MHz.  Assigned frequency 121.5 MHz may also be present in addition to one or more of the listed frequencies."
7160,Transmitter output power must be greater than 0 and may not exceed 100 watts.
7165,At least one response is required to Aviation Support Station Certifications 1 through 3.
7170,"For station class MOU1, frequency must be one or more specific frequencies or bands from 122.7, 122.725, 122.8, 122.85, 122.9, 122.95, 122.975, 123.0, 123.05, 123.075, 1090 MHz, 118-122.675, 123.6-128.8, or 132.025-136.475 MHz."
7175,"For station classes AOX, MFX, and MFX2, frequency must be one or more specific frequencies from within frequency bands 72.0-76.0 MHz."
7180,A response to Aviation Support Station Certification #4 is required.
7185,At least one response to Radiodetermination Station Certifications 1 though 4 is required.
7190,Transmitter output power must be greater than 0 and may not exceed 30 watts.
7195,Emission must equal 2K80J3E.
7200,"Emission designator must be one of the following:  R3E, H3E, or J3E."
7205,A response to the Civil Air Patrol Station Certification is required.
7210,A response to the Aeronautical Enroute/122.825 or 12.875 MHz Certification is required.
7215,At least one response to Aeronautical Utility Mobile Certifications 1 through 3 is required.
7220,"For station classes RLA, RLA1, and RLA2, frequency if present, must equal 75.0 MHz."
7225,"If the Location Description is mobile, then the 'lineloss' field is not applicable."
7230,Emission must equal 6K00A3E.
7235,Transmitter output power must be greater than 0 and may not exceed 10 watts.
7240,Transmitter output power must be greater than 0 and may not exceed 200 watts.
7245,Transmitter output power must be greater than 0 and may not exceed 50 watts.
7250,"For station classes FAA, FAA1, and FAA2, frequency must equal one (and only one) of the following: 122.7, 122.725, 122.8, 122.975, 123.0, 123.050, 123.075 MHz.  Frequency  121.5 MHz may also be present in addition to one of the required frequencies."
7255,"For station classes FA, FA1, and FA2, frequency must equal at least one occurrence from bands 128.825-132.0 MHz, 136.5-137.0 MHz (entered as an assigned or as a band) OR at least one occurrence from frequency band 2.0-27.0 MHz (entered as a band)."
7260,"If station class equals FA, FA1, or FA2, and frequency is 122.825 and/or 122.875 MHz, then no other frequencies are allowed."
7265,"For station classes AX, AX1, AX2, frequency must equal at least one occurrence from frequency 2.0-28.0 MHz (entered as an assigned frequency)."
7270,"For station classes MFL, MFL1, MFL2, frequency must equal at least one occurrence of the following: 122.85, 122.9, 122.925 MHz.  121.5 MHz may also be present in addition to one or more of the required frequencies."
7275,"For station class FAC, frequency, if present must be one or more specific frequencies from within the bands 118.0-137 MHz, and/or 200.0-400.0 MHz.  121.5 MHz may also be present as long as one or more of the required frequencies are present."
7280,Transmitter output power must be greater than 0 and may not exceed 20 watts.
7285,"For station class FAB, frequency, if present must equal one specific frequencies or a band from frequency band 118.0-137.0 MHz."
7290,"For station classes RLA, RLA1, and RLA2, emission designator, if present, must equal A2A."
7295,"For station classes RLA, RLA1, and RLA2, transmitter output power, if present, must be greater than 0 and may not exceed 25 watts."
7300,"For station classes RLB, RLB1, RLB2, frequency if present, must be one or more specific frequencies or frequency bands from .190-.285,..325-.435, .510-.525 MHz."
7305,"For station classes RLB, RLB1, RLB2 emission must be at least one of the following:  1K12XXA, 2K04A2A, 6K00A3E."
7310,"Transmitter output power, if present, must be greater than 0 and no greater 80,000 watts."
7315,"For station class DGP, frequency if present, must be one or more specific frequencies or bands from frequency band 108.0-118.0 MHz."
7320,"For station class DGP, emission if present, must have emission designator G7D."
7325,"For station classes ELT and ELT1, frequency must be one or more of the following: 121.5, 406.025, 121.6, 121.65, 121.7, 121.75, 121.8, 121.85, 121.9, or 243.0 MHz."
7330,"For station classes ELT and ELT1, emission must have emission designator of A9W, G1D, A3E, A3X, or NON."
7335,Transmitter output power must be greater than 0 and no greater than 1 watts.
7340,"For station classes RLG, RLG1, RLG2, frequency if present, must be one or more specific frequencies or bands from frequency band 328.6-335.4 MHz."
7345,"For station classes RLG, RLG1, RLG2, emission if present, must have emission designator A1N."
7350,"For station classes RLL, RLL1, RLL2, frequency if present, must be one or more specific frequencies or bands from frequency band 108.1-111.95 MHz."
7355,"For station classes RLL, RLL1, RLL2, emission if present, must have emission designator A1A or A9W."
7360,"For station classes RLO, RLO1, RLO2, frequency if present, must be one or more specific frequencies or bands from frequency band 108.0-112.0 MHz."
7365,"For station classes RLO, RLO1, RLO2, emission if present, must have emission designator A2A or A9W."
7370,"For station classes RLD, RLD1, RLD2, frequency must be one or more specific frequencies or bands from frequency band 1000.0-10,000.0 MHz."
7375,"7375 (For station classes RLD, RLD1, RLD2, emission must have emission designator P0N, N0N, or M1N."
7380,"For station classes RNV, RNV1, RNV2, frequency must be one or more specific frequencies or a band from frequency bands 108.0-118.0 or 960.0-1215 MHz."
7385,"Class FAT, FAT1, FAT3, frequency must be one or more specific frequencies from within the bands 123.125-123.275, 123.325-123.475, 123.525-123.575, 200.0-400.0, or specific frequencies or bands from within or equal to 1435.0-1535.0, 2310.0-2390.0 MHz."
7390,"For station classes FAT, FAT1, FAT3, carrier frequency must be one or more of the following: 2.851, 3.004, 3.443, 5.451, 5.469, 5.571, 6.550, 8.822, 10.045, 11.288, 11.306, 13.312, 17.964, 21.931, or 3.281 MHz."
7395,Emission designator must equal A3E.
7400,"Emission designator must equal A3E, F2D, F9D, or F7D."
7405,Transmitter output power must be greater than 0 and may not exceed 50 watts.
7406,Transmitter output power must be greater than 0 and may not exceed 25 watts.
7410,"Transmitter output power must be greater than 0 and may not exceed 80,000 watts."
7415,"Emission designator must equal H2B, J3E, J7D, H3E, R3E, A3E, or J9W."
7420,"Transmitter output power must be greater than 0 and may not exceed 6,000 watts."
7425,"Class FMA1, frequency must be one or more specific frequencies from within the bands 123.125-123.275, 123.325-123.475, 123.525-123.575, 200.0-400.0, or specific frequencies or bands from within or equal to 1435.0-1535.0, 2310.0-2390.0 MHz."
7430,"For station class FMA1, carrier frequency must be one or more of the following: 2.851, 3.004, 3.443, 5.451, 5.469, 5.571, 6.550, 8.822, 10.045, 11.288, 11.306, 13.312, 17.964, 21.931, or 3.281 MHz"
7435,Transmitter output power must be greater than 0 and may not exceed 55 watts.
7440,Transmitter output power must be greater than 0 and may not exceed 400 watts.
7445,"For station classes RLT, RLT1, RLT2, if frequency = 75.0 MHz, then emission designator must = A2A."
7450,"For station classes RLT, RLT1, RLT2, if frequency = 108.0, 108.05, 108.1, or 108.15 MHz, then emission designator must = A9W."
7455,"For station classes RLT, RLT1, RLT2, if frequency = 334.55 or 334.7 MHz, then emission designator must = A1N."
7460,"For station classes RLT, RLT1, RLT2, if frequency = 978.0 or 979.0 MHz, then emission designator must = M1A."
7465,"For station classes RLT, RLT1, RLT2, if frequency = 1030 or 1104.0 MHz, then emission designator must = M1D."
7470,"For station classes RLT, RLT1, RLT2, if frequency = 5031.0 MHz, then emission designator must = F7D."
7475,"For station classes MRT and MRT2, assigned frequency must be one or more specific frequencies from within frequency bands 1.0-28.0, 156.0-162.0, 216.0-220.0 MHz."
7480,"Transmitter output power must be greater than 0 and may not exceed 1,500 watts."
7485,"For station classes FCA, FCA2, assigned frequency may be entered as one or more specific frequencies from within bands 2.0-27.5 and 156.0-158.0 MHz.  One or more of frequency bands 2900.0-3100.0, 9300.0-9500.0, and 14000.0-14050.0 MHz. may also be entered"
7490,Emission designator must equal N0N.  Bandwidth is not required.
7495,Transmitter output power must be greater than 0 and may not exceed 150 watts.
7500,"For station classes MSC, MSC2, RLS, RLC2, frequency must be entered as at least one of the following frequency bands: 14.0-14.05, 2900.0?3100.0, 9300.0?9500.0 MHz."
7505,"For station class FC, assigned frequency must be one or more specific frequencies from within frequency bands .10-28.0 and 156.8-162.025.  A specific frequency or frequency band from 216.0-220.0 MHz is also permitted."
7510,"For station classes APX and APX2, assigned frequency must be one or more specific frequencies from within frequency band 1.0-12.0 MHz."
7515,Emission designator must equal J3E.
7520,"For station class APC, assigned frequency must be one or more specific frequencies from within frequency band 1.0-6.0 MHz."
7525,"Transmitter output power must be greater than 0 and may not exceed 1,000 watts."
7530,"For station classes MSR, MSR2, RLR, and RLR2, as one or more specific frequencies may be entered from within bands 2900.0-3100.0 and 9300.0-9500.0 MHz.  Frequency bands 2900.0-3100.0 and 9300.0-9500.0 may also be entered (as bands)."
7535,"For station classes FCL and FCL2, assigned frequency must be one or more specific frequencies from within frequency bands 2.0-27.5 and 156.0-162.025 MHz."
7540,"If assigned frequencies 156.8 or 156.525 MHz are present, then at least one additional frequency must be entered."
7545,Emission must equal 16K0F3E.
7550,Emission must equal 16K0F1B or 16K0F2B.
7555,"If carrier frequency 2.182 MHz is present, at least one other frequency must be entered from the 2.0 ? 4.0 MHz band."
7560,Transmitter output power must be greater than 0 and may not exceed 800 watts.
7565,"An attachment is required for applications containing frequencies within any of the following sub-bands: 2.107-2.170, 2.194?2.495, 2.505?2.850, 3.155?3.400, 4.438?4.650, 4.750?4.850, 5.060?5.450, 5.730?5.950, 7.300?8.100 MHz."
7570,Invalid frequency for class of station FCU1 or frequency not in format 999999.99999.
7575,The entry of frequency band 156.0-158.0 MHz (entered as a band) or specific frequencies from frequency band 156.0-162.0 MHz (entered as assigned frequencies) is only permitted if entered along with a valid FCU1 frequency.
7580,FAA notification date must be entered as a valid date and cannot be entered as a future date.  Format is MM/DD/YYYY.
7585,"If either of frequencies 156.8 or 156.525 MHz are present, at least one additional specific frequency entered must be entered."
7590,An assigned frequency may be paired with either an upper frequency or a carrier frequency.  Entry of all three is not permissible.
7595,Carrier frequency must be less than the paired assigned frequency.
7600,"For station classes RLT, RLT1, RLT2, if frequency = 75.0 MHz, then transmitter output power must be greater than 0 and must not exceed 1 watt."
7605,"For station classes RLT, RLT1, RLT2, if frequency = 108.0, 108.05, 108.1, or 108.15 MHz, then transmitter output power must be greater than 0 and must not exceed 1 watt."
7610,"For station classes RLT, RLT1, RLT2, if frequency = 334.55 or 334.7 MHz, then transmitter output power must be greater than 0 and must not exceed 1 watt."
7615,"For station classes RLT, RLT1, RLT2, if frequency = 978.0 or 979.0 MHz, then transmitter output power must be greater than 0 and must not exceed 1 watt."
7620,"For station classes RLT, RLT1, RLT2, if frequency = 1030 or 1104.0 MHz, then transmitter output power must be greater than 0 and must not exceed 1 watt."
7625,"For station classes RLT, RLT1, RLT2, if frequency = 5031.0 MHz, then transmitter output power must be greater than 0 and must not exceed 1 watt."
7630,Hours of operation (Begin) must be entered in valid military time.
7635,Hours of operation (End) must be entered in valid military time.
7640,Receive zone is required.
7645,"Valid Frequency Type entries are L, G, E, and O."
7650,Polarization must be entered as a valid polarization code.
7655,Transmitter output power is required.
7660,"Valid Station Identifier format is 3 alpha (XXX), 2 alpha (XX) or 1 alpha, a space or dash, and 3 alpha (X XXX or X-XXX)."
7665,Coast and Ground radio services only allows transmit locations to be all fixed locations or all mobile locations.
7670,"The carrier frequency entered is not a valid FAT, FAT1, FAT3 carrier frequency."
7675,The carrier frequency entered is not a valid FMA1 carrier frequency.
7680,"The carrier frequency entered is not a valid SAR, SAR1 carrier frequency."
7685,Fixed locations are not valid for this station class.  Station classes that end in numerics may only have mobile locations.
7690,Mobile locations are not valid for this station class.  Station classes that do not end in numerics may only have fixed locations.
7695,The password entered is an invalid Frequency Coordinator password.
7700,"A Waiver Request attachment (Attachment Type W) must be uploaded for this application or you must answer ""No"" to the waiver question."
7705,The call sign entered is a duplicate of a previous call sign on this filing.
7710,Number of rule sections for this filing must be 0 or greater.
7715,"Market Designator is required and must be a valid two-letter state code for one of the 50 states, or DC (District of Columbia), VI (Virgin Islands), PR (Puerto Rico), MP (North Mariana Island), AS (American Samoa), or GU (Guam)."
7720,"Channel Block is required and must be only one of the following:  All State Channels, 769-775 / 799-805 MHz [Entire Band], Partial Band[s], Specific Frequency[s]."
7725,"Partial Bands must fall between 764-776 or 794-806 MHz.  More than one partial band may be provided.  Partial Bands must have both fields populated, and the assigned frequency must be less than upper frequency."
7730,Specific frequency must fall between 764-776 or 794-806 MHz.   More than one specific frequency can be provided.  Specific frequencies cannot have upper the band populated.
7735,"Since you have uploaded a waiver request attachment, you must answer ""yes"" to the waiver question or you should delete the waiver request attachment from the application."
7740,Frequencies must be entered for State Licenses with Channel blocks designated as partial bands or specific frequencies.
7745,Applications for a developmental/demonstration/STA license must provide an attachment.
7750,Control Points are not valid for AU's (Administrative Updates) filed for State Licenses (radio service code SL).
7755,ULS shows that an upper frequency is not required for this location number for this call sign. You may have entered the wrong location.
7760,ULS shows that an upper frequency is not required for this path number for this call sign. You may have entered the wrong path number.
7765,"The frequency filed at the location or path for this call sign does not correspond with ULS. Make sure you have entered the frequency correctly.  If this is not the problem, you may have the wrong location or path in column 2(b/c)."
7770,"For station classes FIS, FIS1, FIS2, frequency if present, must be one or more of the following specific frequencies: 136.425, 136.45, 136.475, 136.50 MHz."
7775,"For station classes FIS, FIS1, FIS2, emission if present, must have emission designator G1D and/or G7D."
7776,Only one one frequency type permitted for each entered frequency
7780,Transmitter output power must be greater than 0 and may not exceed 55 watts.
7785,The 1st position of the Bandwidth portion of emission designator cannot contain a zero.
7790,Select 'Yes' to the 'Is this request 'major' as defined . . . .' question on the Main Form.  Applications that require frequency coordination are defined as 'major' in accordance with Rule Section 1.929(a)(5)
7795,"Select 'Yes' to the ""Is this request 'major' as defined . . . .' question on the Main Form.  Renewal applications are defined as 'major' in accordance with Rule Section 1.929(a)(3)."
7800,"This call sign has expired. To file a renewal, a waiver request is required. Answer the waiver questions and attachment question accordingly."
7805,"A renewal cannot be filed more than 90 days prior to the expiration date. If you wish to continue, a waiver request is required and the waiver questions and attachment question must be answered accordingly."
7810,"Since you are requesting a waiver of the rules, you must upload a waiver request."
7811,An answer to the Waiver/Deferral of Fees question is required.
7815,"Since you are including a waiver request, answer the waiver questions accordingly or change the attachment."
7820,Select 'Yes' to the question 'Are attachments being filed with this application?'
8000,Invalid Frequency Coordinator Login/Password Combination.
8001,The file number entered is not valid for the FRN.
8005,FRN and radio service code are required for a New application.
8010,FRN and callsign are required for a Modification or Renew Modification.
8015,A file number is required for an Amendment.
8020,The radio service code entered is not a valid radio service code for New applications filed by frequency coordinators.
8025,The callsign entered is not a valid radio service code for MD/RM applications filed by frequency coordinators.
8030,The file number entered is not a valid radio service code for AM applications filed by frequency coordinators.
8031,A frequency coordinator cannot file an AM against the file number entered.
8035,The FRN/Tin/Sgin combination entered is not a valid ULS FRN/Tin/Sgin combination.
8040,The Call Sign entered is not a valid ULS Call Sign.
8045,The File Number entered is not a valid ULS File Number.
8050,"If radio service is SL and the purpose of application is NE [New] and the receipt date of the application is 01/01/2002 or later, this applicantion requires a Waiver and an Attachment."
8055,"WT Docket 97-153 (FCC 01-382) prohibits new frequency assignments in the 216-217 MHZ band after January 1, 2002."
8060,The frequency number for the specified frequency range is required. Use License Search to determine the frequency number.
8065,The frequency number is invalid for the entered location or path.
8070,The frequency entered does not match the frequency for the specified frequency number and location or path.
8075,The frequency range entered is not contained within the spectrum band for the specified frequency number and location or path.
8080,The frequency or frequency range for the entered frequency number is required.
8100,At least one callsign must be entered.
8105,This call sign is not registered to the provided FRN.
8110,"The call sign entered is not an active call sign. To continue filing, a waiver request is required. If you have not already done so, answer the waiver questions on the Form."
8115,All call signs entered on this application must be licensed in the same radio service.
8120,This license was authorized as an STA and cannot be included on this application.
8125,"The purpose of submission code (1, 2, 3, or 4) is not valid for the call sign entered. If the call sign is incorrect, change the call sign. If the purpose of submission code is incorrect, you must start a new application."
8130,"Since you are requesting a waiver of the rules, an attachment, type ""Waiver"", must be submitted with the application."
8135,Number of rule sections is required for this filing and must be greater than zero.
8140,Call Sign list contains duplicates. Please remove duplicate entries.
8145,"The period for timely filing a notification has ended. To continue filing, a waiver request is required. If you have not already done so, answer the waiver questions on the Form."
8150,"Our records indicate that you have already filed a notification for this coverage/construction requirement. Your call sign, location or path, frequency, or purpose code may be incorrect."
8155,"The purpose of submission code (S) is not valid for the call sign entered. If the call sign is incorrect, change the call sign. If the purpose of submission code is incorrect, you must start a new application."
8160,"The purpose of submission (D) is not valid for the call sign. ""D"" is only used for licenses in the ""CD"" radio service. Correct the call sign or start a new application with the correct purpose code."
8165,"The purpose of submission code (G) is not valid for the call sign entered. If the call sign is incorrect, change the call sign. If the purpose of submission code is incorrect, you must start a new application."
8170,"The purpose of submission code (H) is not valid for the call sign entered. If the call sign is incorrect, change the call sign. If the purpose of submission code is incorrect, you must start a new application."
8175,A call sign can have location numbers OR path numbers but not both. Enter a path number for microwave licenses or a location number for all other radio services.
8180,"This call sign does not have location numbers. Correct the call sign or, if a microwave license, enter a path number."
8185,The location number is not valid for this call sign. Enter a valid location number.
8190,"This call sign does not have path numbers. Only microwave licenses have path numbers. Correct the call sign, remove the path number, or enter a location number."
8195,The path number is not valid for this call sign. Enter a valid path number.
8200,This license does not have frequency level buildout requirements. Complete only the call sign and location number.
8205,"The frequency entered is not valid for this call sign at this location number. Change the frequency, location number, or call sign."
8210,"The frequency entered is not valid for this call sign at this path number. Change the frequency, path number or call sign."
8215,You must enter either a path number (microwave licenses) or a location number (all other radio services) when a frequency has been entered.
8220,"To enter a frequency range, enter the lower and upper frequencies. To enter a specific/assigned frequency, enter it in the center/lower frequency field."
8225,"The upper frequency is not required for the call sign, location number, and lower frequency entered. The upper frequency is only used when a band of frequencies is licensed."
8230,"The upper frequency is required for the lower frequency, location number, and call sign entered."
8235,"The upper frequency is not valid for the lower frequency, location number, and call sign entered."
8240,"The upper frequency is not required for the call sign, path number and lower frequency entered.  The upper frequency is only used when a band of frequencies is licensed."
8245,"The upper frequency is required for the lower frequency, path number, and call sign entered."
8250,"The upper frequency is not valid for the lower frequency, path number, and call sign entered."
8255,"To complete the notification of construction requirements for this call sign, enter the number of mobile units in operation."
8260,This call sign was entered more than once. One entry indicates complete construction and another indicates partial construction. Remove/modify the entries as needed.
8265,The call sign is a duplicate. Please remove duplicate entries.
8270,The call sign and location number are a duplicate of another entry. Remove/modify the entries as needed.
8275,The call sign and path number are a duplicate of another entry. Remove/modify the entries as needed.
8280,"The call sign, location number, and frequency are a duplicate of another entry. Remove/modify the entries as needed."
8285,"The call sign, path number, and frequency are a duplicate of another entry. Remove/modify the entries as needed."
8290,"The call sign, location number, and frequencies are a duplicate of another entry. Remove/Modify the entries as needed."
8295,"The call sign, path number, and frequencies are a duplicate of another entry. Remove/modify the entries as needed."
8300,This Number of Operational Mobiles should not be completed for this call sign. Please remove the information.
8305,The purpose of submission (3) is not valid for the call sign entered. Enter another call sign or correct the purpose of submission code.
8310,The purpose of submission (4) is not valid for the call sign entered. Enter another call sign or correct the purpose of submission code.
8315,"You have not provided notification that a lower buildout requirement was met. To continue filing, a waiver request is required. If you have not already done so, answer the waiver questions on the Form."
8320,"To enter a number of rule sections, you must first answer ""Yes"" to the waiver question."
8325,"The period for filing an Extension of Time to meet your coverage/construction requirement has ended. To continue, an additional waiver request is required. For radio service where waiver requests are feeable, an additional waiver fee will be applied."
8330,You must enter a new coverage/construction date.
8335,The new date cannot be greater than your license expiration date.
8340,The new date must be greater than today's date.
8345,The new date must be greater than your current buildout date.
8346,A valid county/borough/parish entry is required for 6.1 locations utilizing frequencies below 470 MHz.
8347,An Administrative Update needs to be completed and submitted for call sign to provide a valid name and/or mailing address of record before this application can be processed.
8350,"The call sign entered is not an active call sign. If you want to continue with the application, an additional waiver request is required. If filing in a radio service where waiver requests are feeable, an additional waiver fee will be applied."
8355,"Our records indicate that you have already filed a notification for this coverage/construction requirement. A request for Extension of Time cannot be filed. Your call sign, location or path, frequency, or purpose code may be incorrect."
8360,"You must include an attachment, type ""Waiver"",  justifying your request for an extension of time."
8365,You cannot add a call sign through an amended application. You must file a new application.
8370,"You have not provided notification that a lower buildout requirement was met. To continue filing, an additional waiver request is required. If filing in a radio service where waiver requests are feeable, an additional waiver fee will be applied."
8375,The new date must be greater than lower buildout requirements that have not been built out.
8400,Itinerant locations are not valid for this radio service.
8405,"Select 'Yes' to the ""Is this request 'major' as defined . . . . ."" question on the Main Form.  A change in radio service is considered an application for a new authorization, and is classified as 'major' pursuant to Rule 1.929(a)(1)."
8406,"For radio service codes GF and YF, if the frequency is between 821.0125 and 823.9875, the station class must begin with MO or FX"
8407,"For radio service codes GF and YF, if the frequency is between 866.0125 and 868.9875, the station class must begin with FB or MO"
8408,Output power cannot exceed 100 watts
8410,The requested radio service code cannot apply for Extended Implementation [Slow Growth].
8415,Licensees in the Public Safety 700 MHz Band-State Licenses radio service are not permitted to change their licensee name.
8420,"Station Classes for Mobile Locations cannot end with an ""I"", ""L"", ""J"" or ""T""."
8425, Site status cannot be changed for existing locations in this radio service.
8430,Area of Operation Code must equal P- KMRA around a centerpoint
8431,Unattached receiver location must be deleted
8432,"The presence or absence of passive repeater information must agree with the answer to the question ""Does path include passive repeaters?"""
8433,Unattached passive repeater location must be deleted
8434,"New applications for radio services MG or MW with frequency band 12200-12700 MHz may not be submitted without a waiver.  If you have not already done so, answer the waiver questions on the Form."
8435,Temporary Fixed or Mobile Radius can not be greater than 40.5 km
8436,Path information must be deleted prior to deleting any locations
8437,An invalid Regulatory Status or an invalid combination of statuses has been entered for the radio service code specified on this application
8438,Invalid Regulatory Status for Radio Service Code.
8439,"The Regulatory Status question is requried and must equal P when the Radio Service Code equals MG, MW, WA, WM, WR or PE and Purpose of Application equals NE and Type of Operation equals M."
8450,"The system has encountered a severe error, preventing any further action to be taken on this particular filing.  Select 'Quit Application' and start the online filing process again."
8500,Name of Ship is required.
8505,Official Number of Ship is required and must be a number greater than zero.
8510,Port of Registry is required.
8515,Gross Tonnage is required and must be a number greater than zero.
8520,Ship Telex INMARSAT Number is required and must be a number greater than zero.
8525,Ship Exemption Applicant/Licensee Type is required.
8530,Requirement from which you request exemption is required.
8535,Description of Voyage is required.
8540,Travel to a foreign port (Yes or No) is required.
8545,At least one reason for exemption request for the voyages must be specified.
8550,"A description of the ""Other"" reason for this exemption request is required."
8555,You must indicate if the vessel is certified by the U.S. Coast Guard as a Passenger or Cargo vessel.
8560,Number of crew that the vessel will carry is required and must be greater than zero.
8565,"Number of passengers that the vessel will carry is required. If none, enter 0 (zero)."
8570,"Number of others that the vessel will carry is required. If none, enter 0 (zero)."
8575,A quantity must be provided for at least one radio equipment description.
8580,"MF, HF, or DSC must be selected if Single-Side Band equipment being carried on board the vessel."
8585,A description of the equipment being carried on board the vessel is required when the quantity of Other Equipment is 1 or more.
8590,"Attach your Coast Guard Certificate of Inspection, if possible."
8595,This license was authorized as a Developmental and can not be included on this application
8600,This license was authorized as a Demonstration and can not be included on this application
8605,The bandwidth specified in the emission exceeds that specified in the frequency band.
8610,"License Type Code - Valid values are P35, BTA, PSA"
8615,CenterPoint of P35 is required
8620,BTA market code is required
8625,BTA market partiton is required
8630,"If radio service = VX, then Facility type must begin with C or I"
8635,"If radio service = MD, then Facility type must begin with B or M"
8640,Facility Type may not be modified
8645,Facility Type may be modified only to facility type in this group (VX Booters)
8650,Facility Type may be modified only to facility type in this group (MDS Booters)
8655,Facility Type may be modified only to facility type in this group (VX Hubs)
8660,Facility Type may be modified only to facility type in this group (MDS Hubs)
8665,Facility Type may be modified only to facility type in this group (VX I Chnl)
8670,Facility Type may be modified only to facility type in this group (MDS I Chnl)
8675,"BTA Facility Type cannot file for application purposes NE, MD or AMs of  NE, MD"
8680,"A Statement Of Intention may only file application purposes AU,WD or CA (they cannot file application purposes NE, MD, RO, RM, DU, NT, or EX)."
8685,"Assoc Callsign required if facility type is Hub, Boosters or Downstreem I channels"
8690,At least 1 channel is required for each antenna on a license with a transmit location
8695,Power eirp has to be between -10 and 85
8700,The radio service code of the lead callsign must match the radio service code of the application
8705,Assoc Callsign doesn't exist in ULS
8710,The radio service code of the Assoc callsign must be VX or MD
8715,Spectrum Leasing applications must include a completed FCC Form 603-T as an attachment
8720,Only hub antennas are valid for Hub facility type codes.
8725,Only transmit antennas are valid for Non-Hub facility type codes.
8730,"An attachment is required for applications where the answer to the Nepa question is Yes, and answer to attachment question must be 'Y'."
8740,Site elevation AMSL is required and must be between -152.0 and 6248.0
8745,"Overall height AGL of antenna, without appurtenances, is required and must be between 0 and +610.0 (meters)."
8750,"Overall height AGL of antenna, with appurtenances, is required and must be between 0 and +610.0 (meters)."
8755,Height to center of antenna AGL is required and must be between 0 and 610 (meters).
8760,This call sign does not expire for more than a year and is not eligible for renewal at this time
8765,A completed Renewal Form 330R must be attached for VX Radio Service filings.
8770,A completed Renewal Form 405 must be attached for MD Radio Service filings
8775,"An answer to the ""NTIA Registration"" question is required"
8776,"An answer to the ""Do you propose to operate in an area that requires coordination with Canada or Mexico"" question is required"
8777,Antenna gain is required and must be equal to or greater than 43 (dB).
8778,Beamwidth of main lobe is required and must be between 0.1 and 1.2.
8779,Antenna Center Line is required and must be between -100.0 and +1000.0 (meters).
8780,Antenna Azimuth is required and must be between 0 and 359.9.
8781,Minimum output power must be equal to or less than maximum output power.
8782,Maximum Transmitter Output Power is required.  It must be greater then Minimum Transformer Output Power and equal to or less than +85 (dBm).
8783,EIRP is required.
8784,Receiver Manufacturer is required.
8785,Receiver Manufacturer is required.
8786,Receiver Stability is required and must be expressed as a percentage.
